Minisector,HAM,GIO,Fastest
0,306.55516672,298.9727167285245,HAM
1,244.72568286664665,238.57732069767937,HAM
2,135.92056517371387,133.01519886937263,HAM
3,239.09734003333332,238.93997320504056,HAM
4,191.5466026073486,184.87389545124992,HAM
5,242.11861986666668,242.06515174141413,HAM
6,228.5845399313202,228.18123064494853,HAM
7,258.49302015844535,252.696925871746,HAM
8,288.05969179234694,286.06862880902344,HAM
9,218.3721824152341,210.51619507930036,HAM
10,208.16594660250627,203.80069104412271,HAM
11,272.3344125177027,270.6021265959184,HAM
12,219.6377375085714,210.6567552288288,HAM
13,250.21031565460203,244.71330854666667,HAM
14,292.6909800439561,284.32571037069596,HAM
15,307.8405449846154,298.0414001610751,HAM
16,306.10966660266666,302.81683327999997,HAM
17,238.87768602428605,230.10842541846864,HAM
18,270.2083335727891,261.6747232355555,HAM
19,300.14591555076,289.6170789754846,HAM
20,308.13480951466664,301.98266696533335,HAM
21,299.37506847949874,304.35618754713875,GIO
22,160.58745903726702,157.6227956784762,HAM
23,238.43445019506885,227.7057109774831,HAM
24,290.2615415473711,282.8335856574102,HAM
25,302.4,296.0,HAM
