Minisector,NOR,RIC,Fastest
0,292.4475,308.76388402565874,RIC
1,289.36646836825395,320.19249346031745,RIC
2,278.27599212698414,320.4293981037037,RIC
3,228.72056700524047,224.33714862050726,NOR
4,231.97238142171426,226.5424672820513,NOR
5,112.65966127644866,113.43874019229087,RIC
6,224.05385726419752,218.81295764467,NOR
7,273.182168530656,271.7755952111965,NOR
8,233.5036923062857,228.10117653650806,NOR
9,116.222283946683,114.56517630581426,NOR
10,238.88315915555555,235.82531256742203,NOR
11,252.5389649742443,250.09433464007085,NOR
12,135.96538073391403,132.93811342311727,NOR
13,215.56554400000002,215.68751996127577,RIC
14,266.7621210666667,268.8057535492063,RIC
15,229.5648144847253,223.37960759203,NOR
16,157.37186477798983,152.77859468868851,NOR
17,236.91842357639075,239.1664288,RIC
18,125.67068941544818,119.41497865689435,NOR
19,143.66392305133564,140.30097390011616,NOR
20,185.40991332316577,187.76157921918588,RIC
21,257.50634017391303,260.2335138782609,RIC
22,274.95876266080165,275.3392483744935,RIC
23,279.3869896707483,280.106132912976,RIC
24,289.0837796571428,287.05711292952384,NOR
25,292.9458336,,NOR
