Minisector,GAS,RAI,Fastest
0,271.02812565333335,275.31552145651483,RAI
1,287.56362214783144,298.27236828070176,RAI
2,295.0426891931793,306.48915673162696,RAI
3,133.95508682009483,126.53954240171126,GAS
4,200.45387647760313,194.60536993068646,GAS
5,258.01666732698413,258.2711177287982,RAI
6,151.35408740465772,137.75555003895445,GAS
7,204.97667608905445,200.43344257354497,GAS
8,258.04947632531685,259.27109988655894,RAI
9,278.8114037894737,284.77807011929826,RAI
10,249.62644851014494,221.16823709188364,GAS
11,187.27542977996717,176.15525313640418,GAS
12,194.84273609881,191.9117168781533,GAS
13,156.3211464084656,146.93256082705594,GAS
14,185.58272883298105,175.56156206344693,GAS
15,169.25340548263222,159.85292389467787,GAS
16,218.5622854672824,214.43124787427357,GAS
17,242.76332023412263,230.79285805714287,GAS
18,243.08344268744588,231.37136913143112,GAS
19,250.9399324883613,237.29357737777778,GAS
20,146.8726856888889,141.16681350713804,GAS
21,142.9485289293319,129.51131022222222,GAS
22,175.65827502474409,175.73501025948613,RAI
23,157.3555139136058,145.54509302515953,GAS
24,232.70687854035785,232.6864631517936,GAS
