Minisector,VER,NOR,Fastest
0,250.7771297054945,255.99750432000002,NOR
1,128.80786770585513,129.2842454432168,NOR
2,203.25835353514177,197.06962623558897,VER
3,245.91979048888888,247.19641813679655,NOR
4,253.14987482406562,256.5984772854701,NOR
5,171.11105437803928,172.97829843682538,NOR
6,140.94384258040162,140.32955724391428,VER
7,181.27551798754016,173.3082674575084,VER
8,99.27755268988936,98.16889323391102,VER
9,71.8967252777775,69.32462487296606,VER
10,96.50828391397405,88.80994227170974,VER
11,182.43659427102082,171.81909369825107,VER
12,239.83289126282972,243.19778754461538,NOR
13,256.77133892952384,268.6125114240736,NOR
14,261.8122166827925,276.22798302666666,NOR
15,104.8334309320272,111.0833332838906,NOR
16,155.74440563067543,139.66180120170148,VER
17,193.04789217452972,187.74842099580772,VER
18,196.50399269333332,197.31417170462336,NOR
19,206.5433439369764,215.52401820352094,NOR
20,136.78793748380951,132.3849651331648,VER
21,105.6621039165902,111.6553097291806,NOR
22,97.65666617672984,89.88951906641583,VER
23,195.33078964266667,194.19934726636413,VER
24,248.79356329396825,250.48405691803583,NOR
25,260.0999936,,VER
