Minisector,RUS,STR,Fastest
0,296.4725212482951,292.15023447333334,RUS
1,236.85590155767193,225.0488950811944,RUS
2,135.12382603096057,131.10912938194005,RUS
3,216.22618672620078,212.60277665398996,RUS
4,259.17110397327355,259.91550371337865,STR
5,283.4104980711111,285.23981412063495,STR
6,293.1325000147301,298.48961723117606,STR
7,270.9332217697371,267.7533527967347,RUS
8,173.7376395986134,166.53313215828697,RUS
9,234.7334543130326,234.3837123705263,RUS
10,265.90986135111115,268.5884653810101,STR
11,257.62443995597886,258.965848147559,STR
12,209.00121010250072,207.2143622360494,RUS
13,129.40210085506143,119.63923514596188,RUS
14,123.24537219919824,125.95066142743384,STR
15,159.4290864807895,158.73063792216342,RUS
16,121.46489811782067,124.73316413368664,STR
17,231.86386151762576,224.14169377596374,RUS
18,176.55280945218533,176.56164409520323,STR
19,163.14512389468564,159.5684258705813,RUS
20,244.63542271435622,242.22776299349522,RUS
21,269.94262298939725,268.4677706421164,RUS
22,283.42169328507936,286.31571387697477,STR
23,291.8290692886003,297.2058454368628,STR
24,295.72209574331026,302.7615444708417,STR
25,,305.0,STR
