Minisector,RAI,ERI,Fastest
0,280.98270434708996,274.7806723764706,RAI
1,306.32770360119696,302.3614578,RAI
2,320.76388864,316.05819372976237,RAI
3,327.76831483076927,323.2610119619048,RAI
4,331.6360119619048,326.9661863834012,RAI
5,333.2548937426522,329.2625001142857,RAI
6,208.74842311552794,197.88106830933077,RAI
7,109.69233596503302,105.92849997140704,RAI
8,190.68156679704404,191.55521684558792,ERI
9,266.24036467488753,263.5872543372549,RAI
10,294.5699997866667,287.3871830653968,RAI
11,168.10075939998873,161.85576947914615,RAI
12,100.57152174704814,96.93667739359489,RAI
13,119.68038955572715,118.10502868689649,RAI
14,227.8035779094386,207.85540902028987,RAI
15,178.21739153623187,175.82619888150776,RAI
16,219.32145556643445,206.8754061229437,RAI
17,174.648334336,167.6471372800978,RAI
18,237.71470083657474,232.17916639999999,RAI
19,281.00755226666666,276.97405611642296,RAI
20,248.34166666666664,236.87458384,RAI
21,145.3739827317972,142.33377296034826,RAI
22,100.27378181907767,97.59442794932656,RAI
23,128.74336558431372,121.90141560257402,RAI
24,232.08613519650652,227.18713383272348,RAI
25,263.229168,,RAI
