Minisector,SAI,HUL,Fastest
0,276.8835928085154,276.53304072982456,SAI
1,302.6746430737415,303.7305241866667,HUL
2,317.0697930890815,316.19989972644385,SAI
3,324.2004481621703,324.08904394666666,SAI
4,328.8191270095238,328.0,SAI
5,328.080254436727,329.30705240584973,HUL
6,209.2008476943238,209.8640271968254,HUL
7,109.37309619887374,104.81541165620828,SAI
8,187.56453380902693,185.0552618642855,SAI
9,263.7983419643808,262.61722009493764,SAI
10,292.0476932711046,293.8727456152073,HUL
11,164.37306178382875,159.98156605585893,SAI
12,94.51707364392291,99.40582969498513,HUL
13,119.2215682414035,114.81661387314934,SAI
14,220.32746485576249,225.1343694402126,HUL
15,187.14766774498813,193.24342273056118,HUL
16,229.6274994521212,232.45477708626436,HUL
17,177.84506827621587,181.42209889619602,HUL
18,242.99488953763537,239.41186370933332,SAI
19,280.5818777848485,279.0790879719298,SAI
20,245.73921226597403,258.12025225680674,HUL
21,146.87329377246996,147.89307321379036,HUL
22,98.4550483243985,98.04480097675346,SAI
23,126.06238530649519,125.36594684997702,SAI
24,233.00310189357026,221.84194888367585,SAI
25,,260.0,HUL
