Minisector,NOR,RIC,Fastest
0,311.0130436173913,310.9730911078402,NOR
1,319.46187504,327.33684557714287,RIC
2,287.0947178236827,289.995809052105,RIC
3,115.27787884772908,110.66917481858022,NOR
4,227.43536355171094,230.7286960551724,RIC
5,269.85285221587304,287.2233594702762,RIC
6,211.42129573244392,226.94488925591398,RIC
7,176.2120497009009,172.91064572991925,NOR
8,220.63822895087878,214.18810285295908,NOR
9,224.5854167822222,225.34172884823064,RIC
10,116.5419667038088,119.59545277515132,RIC
11,231.75463650333447,233.52106864890217,RIC
12,118.78566345472917,123.74912451121564,RIC
13,227.87383121088436,228.16440076337727,RIC
14,271.71527777777777,274.20000057777776,RIC
15,215.51199925284178,217.47412059301655,RIC
16,207.00192012288787,201.85286550680698,NOR
17,253.01589503209877,252.62061281410934,NOR
18,193.03347003209896,199.61812954590454,RIC
19,194.3421828133922,190.12192076523294,NOR
20,266.72942533977266,264.72218739679323,NOR
21,284.889384984127,288.9001923807744,RIC
22,166.72077444270514,168.00532612901998,RIC
23,217.68288759668047,220.8055434592396,RIC
24,271.85905801407864,274.55258081113334,RIC
25,285.2875008,,NOR
