Minisector,LEC,PER,Fastest
0,321.8195388016133,311.07965694117644,LEC
1,221.72922465190084,219.32751162546677,LEC
2,133.69624667870195,126.06331534359435,LEC
3,217.58476807064935,209.99139155868892,LEC
4,262.5077793643932,261.4405848430427,LEC
5,292.754895056201,287.2928467655182,LEC
6,311.50829569357575,303.8977309390481,LEC
7,274.2069015594987,264.03137581286546,LEC
8,161.77081539819795,168.86572211895358,PER
9,238.64852592429835,241.63495953685424,PER
10,273.3450472358399,274.4700790695602,PER
11,252.5161198240363,259.4176806316544,PER
12,192.32422850862648,204.90575178202897,PER
13,114.675891954967,117.93110423175236,PER
14,120.17624303752177,125.02422018175888,PER
15,145.77470383612254,168.66844978031747,PER
16,133.83842966870262,120.77790807345585,LEC
17,235.91812450913955,222.96614281783826,LEC
18,167.01589051028813,172.36903678033508,PER
19,168.68883699739885,165.79435940515836,LEC
20,245.69494779988793,242.829916925291,LEC
21,275.9901871605636,274.52755842648526,LEC
22,298.6274219329293,291.37594007257053,LEC
23,315.88986122666665,301.9790442048179,LEC
24,326.63845682315593,306.8649934659048,LEC
25,,309.43888924444445,PER
