Minisector,BOT,ALB,Fastest
0,251.72951297777777,251.64184773118714,BOT
1,281.39039569846756,281.04874976,BOT
2,174.66178816000001,170.65871551190784,BOT
3,172.9445411549941,169.01328753909024,BOT
4,261.64635821090263,260.0496545801179,BOT
5,277.21636587775635,270.83720241269845,BOT
6,234.84500096,221.31280880987654,BOT
7,206.7024912271147,206.15991371034482,BOT
8,165.70928331956986,159.26582654802758,BOT
9,221.49320794074072,226.36891002490844,ALB
10,277.7098576074608,272.0019817682839,BOT
11,124.43788251097682,123.54851200364972,BOT
12,220.16944209382714,222.1842488908425,ALB
13,272.2607703945578,274.4597374715505,ALB
14,290.5961165061224,292.17017852190475,ALB
15,296.9260964491228,292.95714285714286,BOT
16,230.75666819000173,212.12076977959185,BOT
17,140.02344885581397,137.5144671663271,BOT
18,141.43351329626353,143.69589402509735,ALB
19,124.85521753935208,124.91357239821541,ALB
20,234.53974557407932,232.03450018133336,BOT
21,260.71985863896106,258.6223086641822,BOT
22,240.15180324548678,228.36220760187575,BOT
23,216.8538138638448,214.0034930649776,BOT
24,149.03046732,148.1626795238781,BOT
25,224.53333333333333,,BOT
