Minisector,HAM,VET,Fastest
0,290.788278071973,295.90229113462544,VET
1,164.66110827313636,162.00951467821454,HAM
2,152.82435318993228,155.83020937614035,VET
3,227.14444448395062,228.09761843809522,VET
4,281.69633761969254,285.5611278575569,VET
5,282.01693771018273,288.4390257447741,VET
6,148.6583257919231,148.68650046071164,VET
7,146.47655365614236,145.0403205877551,HAM
8,147.46291886922768,149.84264211601732,VET
9,188.57766883001443,187.3660545412714,HAM
10,133.3517518115818,131.56830594237732,HAM
11,124.43158150743598,125.36403585030024,VET
12,170.01155015907335,164.6325070312439,HAM
13,266.42914767726563,268.4266294499379,VET
14,284.8761362909091,290.1608817388821,VET
15,158.45252575054525,150.70946916770737,HAM
16,216.94977936931215,213.13615583655914,HAM
17,177.84872452032374,174.02743982065027,HAM
18,273.52500000000003,271.1972216,HAM
19,295.115476092517,294.4312226077922,HAM
20,308.24895833333335,308.11467238095236,HAM
21,314.50145818666664,315.45331743074337,VET
22,317.2527976304762,318.7167919799499,VET
23,326.20958336,319.868650768254,HAM
24,328.52425061647784,319.1317432932101,HAM
25,324.46250026666667,317.6916672,HAM
