Minisector,RUS,ALO,Fastest
0,280.805429782374,278.4089696651082,RUS
1,299.0416349046349,298.17605335893586,RUS
2,224.26101247633557,235.7860184911464,ALO
3,108.35117215713412,111.9532485882704,ALO
4,126.18606158433312,129.25945062707126,ALO
5,246.352872415735,247.4652863031,ALO
6,255.28889900724582,240.5850043768725,RUS
7,117.85726652152728,119.51560410020373,ALO
8,241.99341818181819,247.5861949786362,ALO
9,258.07388026470704,262.5678073523634,ALO
10,200.51996706666665,206.4457364147803,ALO
11,138.27538060257294,141.23845604373574,ALO
12,197.70776074891765,208.2165812571374,ALO
13,261.27192057809265,246.02719925283353,RUS
14,106.76583912752423,109.08320907080612,ALO
15,180.64849723345264,194.55182759073952,ALO
16,252.88783290403572,260.34872234452797,ALO
17,289.4677573291402,296.09870318837307,ALO
18,306.9525832933333,314.6210497307268,ALO
19,321.64702751578466,325.8334554249231,ALO
20,329.62451841069736,331.58848693333334,ALO
21,151.8394101997926,139.8265297534813,RUS
22,135.44647509808323,166.2494964839884,ALO
23,183.43803776756596,191.75973513749545,ALO
24,233.90960672,237.1296947504762,ALO
