Minisector,HAM,VER,Fastest
0,287.7378309733333,288.8294907851852,VER
1,291.76893220845074,298.96857142857147,VER
2,163.9699065948498,169.4170819212849,VER
3,216.64354746219868,226.38459893048127,VER
4,270.4048191518954,271.4902411730029,VER
5,290.9133166243137,290.14207920044373,HAM
6,292.8198763100245,297.5060204081633,VER
7,172.26217421553923,155.59531945139491,HAM
8,120.40707045272848,129.9501677508123,VER
9,248.56075829714285,252.8892539539384,VER
10,285.23406442728117,289.7185317460318,VER
11,296.4831353269841,306.4182602938026,VER
12,142.07961519817042,144.33021216139798,VER
13,192.57885455364624,200.64596142848131,VER
14,254.94999931070706,258.7111557279588,VER
15,198.71174451540267,200.96407374587343,VER
16,212.14354741834674,226.74523555352062,VER
17,207.27619744075125,219.9262111801242,VER
18,242.458010754709,248.28767850827066,VER
19,276.8925436398413,279.67968067878786,VER
20,293.99277014369255,297.4755042016807,VER
21,256.44851380345676,265.41593109311,VER
22,212.27379328046175,225.27853513871634,VER
23,202.45003186539682,209.17384272737903,VER
24,262.57792400732023,267.0397359474808,VER
25,279.93749760000003,,HAM
