Minisector,STR,GAS,Fastest
0,273.11824626785017,267.272000048,STR
1,111.8508556330629,114.27629180381564,GAS
2,158.01597116300687,159.64662179490662,GAS
3,207.24954063641388,208.04540086613335,GAS
4,151.30111453856208,156.49719426201878,GAS
5,239.83702935188407,235.87180518864093,STR
6,203.6518092021134,195.85857555132276,STR
7,118.78988989851551,130.39613477063045,GAS
8,228.47500057076022,231.09390392177778,GAS
9,273.87213548696207,272.9818421350227,STR
10,289.28921693121697,274.93667710944027,STR
11,146.89405205202436,145.79520205762557,STR
12,222.54687206415457,218.38921487603304,STR
13,272.46999850978705,270.11803091289744,STR
14,265.2705952,267.04059927429546,GAS
15,98.15464994305583,98.77135609142421,GAS
16,212.50441943434345,214.7695968762634,GAS
17,269.6855503749859,266.47502081628545,STR
18,290.17005664089277,287.9167713267019,STR
19,301.2609166613653,297.6645396885781,STR
20,306.88204628913127,303.3030652752084,STR
21,287.80546218487393,288.62104166666666,GAS
22,144.675918495832,150.96333194277264,GAS
23,229.7261644135968,218.56444486584186,STR
24,273.64593276613755,271.88145836666666,STR
25,283.7875008,278.0,STR
