Minisector,RUS,RIC,Fastest
0,279.18518620506427,277.2655184965079,RUS
1,114.17829033907013,112.91336336225862,RUS
2,165.97271253743162,157.58784763265308,RUS
3,216.6287840441457,219.03172109047173,RIC
4,158.2537033425226,154.98421997848615,RUS
5,241.0041256098399,239.076768188486,RUS
6,206.71233395129812,219.04262913777777,RIC
7,135.10539098263527,125.59942984380707,RUS
8,235.6408938736804,227.76507488054972,RUS
9,277.0856944444444,273.7024429868741,RUS
10,286.4384694637004,272.3446493298413,RUS
11,153.26847152444444,143.28564685763106,RUS
12,226.11146392352487,219.16205369987395,RUS
13,273.1077596689386,269.95688071389935,RUS
14,273.5190367965368,266.90744221037033,RUS
15,101.5567689348067,96.61294844434904,RUS
16,211.9377724289855,221.4230136960281,RIC
17,267.98350932274485,267.7507525551649,RUS
18,304.49978524743227,289.5788873648204,RUS
19,317.3147544347016,299.0985783735574,RUS
20,325.5117593244444,303.6418966388889,RUS
21,282.99157894736845,285.5925848285698,RIC
22,149.23697501976955,141.01243693976107,RUS
23,238.34186792372654,218.76348264321302,RUS
24,280.4295399669304,268.78936125866664,RUS
25,283.95000319999997,284.99545483636365,RIC
