Minisector,STR,BOT,Fastest
0,297.8149891590329,291.7408331073016,STR
1,306.8290818612245,300.9214582577778,STR
2,312.7625001025641,308.04222236444446,STR
3,313.6955782965987,303.85576974065935,STR
4,203.30725846511524,201.3498621104204,STR
5,94.57309253333334,100.58290102511144,BOT
6,196.36272777437037,203.53074010655146,BOT
7,254.901226227451,255.96169713115748,BOT
8,282.708334,281.56502901904764,STR
9,286.5452504910441,294.33660708571426,BOT
10,149.54688795202821,156.29505400801875,BOT
11,166.9013466588268,178.94710010434784,BOT
12,239.99019708235295,240.173012255087,BOT
13,242.93200883809524,241.7005769291558,STR
14,147.41515867543347,156.32456956321838,BOT
15,205.08174775873016,206.95711542448242,BOT
16,258.7328877714286,257.6747538644258,STR
17,282.2589367511235,280.35572886666665,STR
18,295.64920663365075,292.52562065411087,STR
19,299.6997221688889,299.844539790821,BOT
20,284.95838081652346,286.290120584127,BOT
21,147.86758580603873,152.6294130772231,BOT
22,201.81468464761903,206.76179398487082,BOT
23,257.7928615093756,256.44936920560224,STR
24,284.7636120888889,279.20849115737946,STR
25,,287.23888924444447,BOT
