Minisector,STR,OCO,Fastest
0,306.25526416698415,306.36182301793247,OCO
1,214.5958615379048,212.5000987340413,STR
2,129.9356906500729,125.42586736624634,STR
3,215.50255067204924,221.21183907870287,OCO
4,262.05582223765026,260.60771123274856,STR
5,284.7042533434741,289.1698232011544,OCO
6,300.66321127529415,303.62914920070205,OCO
7,267.7105825152951,275.65342404952725,OCO
8,167.31917824149224,168.82739672259066,OCO
9,237.89201747740262,233.55331174488887,STR
10,269.6315107156661,271.838637004657,OCO
11,252.2335344206561,261.7653424981352,OCO
12,208.62872929502063,202.99321079245013,STR
13,129.06240620459886,125.90684881285112,STR
14,121.54091482287336,119.09168963656717,STR
15,171.04650622108403,170.66077344612108,STR
16,127.17406416880671,119.05678588244305,STR
17,229.0681630057825,222.8912999942335,STR
18,177.20778136423127,175.34804381508079,STR
19,160.8457851372646,149.35211704046142,STR
20,244.9419630629665,242.55721441122807,STR
21,273.40023911942586,276.83149705100124,OCO
22,290.3251814423903,296.64864934714285,OCO
23,299.8893891128889,318.01891213852815,OCO
24,303.07319123116883,325.31035074080086,OCO
25,304.1727278545455,328.0,OCO
