Minisector,SAI,OCO,Fastest
0,267.4814833533333,267.2840756929972,SAI
1,297.8893619755742,292.2921826816528,SAI
2,316.48498987779595,305.9818872313725,SAI
3,328.5265731257582,315.04458540055026,SAI
4,335.0606289807163,320.9770450330734,SAI
5,334.4934703798601,323.5512500148148,SAI
6,218.32838094851826,216.9691166522567,SAI
7,104.36691104639371,102.5013552799817,SAI
8,188.62299472571428,187.20111524733045,SAI
9,256.1155253369423,256.8359749320574,OCO
10,282.7029160914286,286.18938269238095,OCO
11,162.05348572873564,156.76997629180954,SAI
12,93.53301424354672,96.19428503652028,OCO
13,113.65545461480647,109.89379673824469,SAI
14,208.58202860670707,211.44270929554284,OCO
15,179.71109637002073,176.44446269315523,SAI
16,221.4985959543195,221.89243384444444,OCO
17,174.031214973592,169.99158129142714,SAI
18,231.8278061201272,234.2594589922078,OCO
19,273.26406635864873,273.1361214531602,SAI
20,235.19896819542856,246.77102337928554,OCO
21,145.20754193365303,143.2001434503319,SAI
22,96.83871415307013,94.16457404574254,SAI
23,125.33196266804521,122.63066776336066,SAI
24,222.9197875033766,215.46616080793288,SAI
25,251.5,250.53000192000002,SAI
