Minisector,NOR,PIA,Fastest
0,322.7198438242229,321.8654399085235,NOR
1,331.95845251555556,329.4979024521212,NOR
2,335.92220395789474,331.3304107579221,NOR
3,181.88511458140587,204.11161479793208,PIA
4,141.77033442382694,132.066830898862,NOR
5,270.63421040730094,268.37316169735453,NOR
6,303.45495280357864,301.6554235136614,NOR
7,313.88761947468674,313.8375816993464,NOR
8,275.9312683552841,283.59225832874415,PIA
9,156.20610623433706,152.78344056684938,NOR
10,231.11877475866874,231.1534635474576,PIA
11,235.38305004217577,231.2310272408333,NOR
12,210.55269320907064,213.10222230594417,PIA
13,273.7729083011142,269.6246955013901,NOR
14,308.4176959077937,304.9250454781635,NOR
15,317.5751653434921,316.8584470060606,NOR
16,275.8742781852923,285.1213261784494,PIA
17,222.46194869085045,219.14903918316924,NOR
18,279.8724390098392,276.9790871821787,NOR
19,309.8641573110809,308.47434835331984,NOR
20,323.20225667669604,320.8778393966843,NOR
21,310.85793554285715,308.9126276969122,NOR
22,224.89703304959014,225.2878582529819,PIA
23,270.51271071560444,269.2274119770355,NOR
24,309.14449538037707,306.724243932524,NOR
25,316.35338218508616,316.2,NOR
