Minisector,RUS,MAG,Fastest
0,286.93916974288334,300.6930182269388,MAG
1,289.71378085361505,308.15375151999996,MAG
2,162.48103796727042,153.9292786174892,RUS
3,222.24234030137566,214.11558926524413,RUS
4,271.11012208763856,281.2744436078432,MAG
5,291.40009959394956,307.86746621428574,MAG
6,295.12267846597945,319.2457144990476,MAG
7,163.9980721671499,156.89536683074553,RUS
8,123.88329692130621,126.54992518716713,MAG
9,253.5061810953623,252.66590349473685,RUS
10,283.40369762666666,296.44289700050876,MAG
11,296.9421284088889,308.01330930539683,MAG
12,151.52374812420084,135.10335517520076,RUS
13,188.31201719536492,187.25865845343915,RUS
14,254.6922987980724,253.1674802031746,RUS
15,201.46313216646465,186.87136146737214,RUS
16,209.22620101383387,204.31018775299114,RUS
17,214.68043350588235,200.0460245800823,RUS
18,236.37850231025195,235.741593056,RUS
19,273.6238534367291,273.484016029856,RUS
20,294.55042782497503,294.35181981053967,RUS
21,263.1791552195139,250.6065470741043,RUS
22,218.47436277598544,206.65611242809504,RUS
23,204.99386098924768,201.7515684853504,RUS
24,261.77294164462586,267.9527560919002,MAG
