Minisector,RUS,GAS,Fastest
0,315.7332797733489,316.99981842025124,GAS
1,324.57822929246794,331.7627814496241,GAS
2,318.4045915488926,334.4479113114638,GAS
3,182.00097925794367,151.6740464430252,RUS
4,125.29415321261365,133.09819129772782,GAS
5,259.80381901553943,261.441893967653,GAS
6,297.44294589941524,297.0407437703349,RUS
7,309.7681663260681,311.2855120320452,GAS
8,267.3733949497861,254.3949168092517,RUS
9,146.3521899173246,143.9019099214073,RUS
10,210.0493469393438,199.84559847811684,RUS
11,211.19724262464223,200.71876304887547,RUS
12,191.1576341076751,179.9350593955396,RUS
13,265.05865171814634,267.8887460374719,GAS
14,299.30319643806484,306.5158726060956,GAS
15,309.7292527260119,326.76971690361904,GAS
16,258.0353023649524,238.50593982420608,RUS
17,212.3703171062912,198.15146461031745,RUS
18,272.83066645134573,269.30994998529144,RUS
19,302.5760385298415,304.5046670247619,GAS
20,315.0144444109668,320.72598662736846,GAS
21,297.90243133968255,288.4544910194872,RUS
22,203.24389291450737,189.91272914575003,RUS
23,262.578411054966,263.2051313718247,GAS
24,298.7500535783575,300.572669894631,GAS
