Minisector,SAI,ZHO,Fastest
0,279.66146274947107,274.41245694342524,SAI
1,119.11515848864153,112.32535023456151,SAI
2,159.75274521909702,158.44252981202598,SAI
3,207.66082066010054,208.09349394086877,ZHO
4,156.13878479046798,158.60992361481675,ZHO
5,243.83003249523813,237.635908871387,SAI
6,206.70389105666817,199.12514917304497,SAI
7,132.8452332219901,130.70193479459982,SAI
8,230.4280302914732,230.6169929727259,ZHO
9,275.6118601766824,277.0416215989814,ZHO
10,286.10006868705887,279.999492004169,SAI
11,145.1332673470283,140.83002036248644,SAI
12,214.09161116460274,218.7679910515439,ZHO
13,265.8669907966387,265.0398284304762,SAI
14,261.14409411241115,252.81809738308124,SAI
15,101.34007903021013,102.58415348655231,ZHO
16,217.0139142587942,215.4644785070763,SAI
17,272.08131208126986,270.5898776462338,SAI
18,299.3673211387013,301.37989273061237,ZHO
19,315.97168969034016,318.4797662867647,ZHO
20,323.61358827554307,329.50707177142857,ZHO
21,273.0693764737471,292.27839448134677,ZHO
22,148.05263083056929,146.76176338989384,SAI
23,234.8862974570001,232.80373418224985,SAI
24,281.6497174841751,282.06346562221495,ZHO
25,,296.2357138285714,ZHO
