Minisector,PIA,HAM,Fastest
0,276.510879010352,276.3909032118518,PIA
1,299.5755790952727,297.48290575099566,PIA
2,301.495654532943,296.5101415951515,PIA
3,186.02884748739962,180.79830157415498,PIA
4,122.17456787878845,119.39754545739443,PIA
5,238.2903482669197,237.6243902558071,PIA
6,283.0547441879456,281.7262758185783,PIA
7,295.3483886282433,295.49633431430954,HAM
8,181.14064700849582,171.4916741899738,PIA
9,138.8810778282705,137.85307243856028,PIA
10,250.84306205857834,251.5036367120434,HAM
11,288.5693993074968,288.73922939863945,HAM
12,299.9086498291573,297.6745187783637,PIA
13,288.29436870350577,281.01081813898014,PIA
14,306.2423026053333,301.8394702580355,PIA
15,310.3704337721212,308.2183175913672,PIA
16,258.09876271725716,250.72119488463767,PIA
17,222.23808146951427,224.86740733939328,HAM
18,277.8775216510145,282.04984590317724,HAM
19,305.99135765790476,305.77937477683196,PIA
20,314.51531221333335,311.65141009995466,PIA
21,249.93842457766235,241.88734214881126,PIA
22,266.5382441470037,266.0866087241026,PIA
23,138.51154755058732,137.1007267784219,PIA
24,212.07061904147466,219.05295091550454,HAM
