Minisector,LEC,NOR,Fastest
0,308.0475050287035,333.37545837817675,NOR
1,290.5237316637681,308.7170488242424,NOR
2,168.06193247342173,168.81771784623433,NOR
3,199.41994912323233,196.65000053333333,LEC
4,216.00352613983523,222.1749775933879,NOR
5,267.3083335384615,265.01666633846156,LEC
6,237.08410478617284,233.42397008506347,LEC
7,202.0001226980392,208.85738750071704,NOR
8,182.1605857037838,179.10708706010513,LEC
9,154.22702063837954,161.6903653790626,NOR
10,186.36925633153155,188.6448575813046,NOR
11,188.1967465739915,197.24176386199113,NOR
12,244.99191869302769,241.61237222196502,LEC
13,166.63028627916353,167.15673268867744,NOR
14,237.40294608215478,241.52493079794462,NOR
15,276.0697981482402,274.37699968,LEC
16,278.00965162317846,270.6371032402356,LEC
17,270.6672001139237,262.24550016,LEC
18,253.2065705846154,249.3183757469971,LEC
19,253.12197884961324,252.17077659190542,LEC
20,213.76085500150378,256.26894791296024,NOR
21,167.2139165037442,216.96394762273792,NOR
22,222.20996864154526,194.25747569934697,LEC
23,277.24514270695835,269.9855240674299,LEC
24,297.7217263930736,296.5090490676528,LEC
25,304.0,304.86428556190475,NOR
