Minisector,LEC,ALO,Fastest
0,291.6332176150427,291.4296368903511,LEC
1,161.3407477908598,173.54738018050952,ALO
2,174.74281137824997,172.10693729087865,LEC
3,256.54951360801056,253.71717115936508,LEC
4,289.18492927343794,286.8274445591139,LEC
5,261.502979835393,250.7710891140691,LEC
6,227.6869787860202,220.6341823209524,LEC
7,150.75574525918273,149.89561301089603,LEC
8,226.17927692883785,226.38007884794416,ALO
9,279.4448864982857,281.61401469298704,ALO
10,297.86030287515155,299.5460062893466,ALO
11,307.58107983310657,308.33657286133337,ALO
12,311.5122180330827,312.33854626807016,ALO
13,310.1687919146667,309.3732427188889,LEC
14,127.16744347774379,124.11480148747188,LEC
15,119.45194021976566,113.66482261554516,LEC
16,104.41928054083101,102.45505540983629,LEC
17,237.6079764978882,236.26400365391518,LEC
18,286.219132397361,288.9495690976021,ALO
19,307.697321264,308.50310749066665,ALO
20,318.3492186826667,318.3926402288159,ALO
21,319.54755003109,317.992750924574,LEC
22,125.61809679435255,121.04549792320141,LEC
23,203.53498201379443,207.48534758283364,ALO
24,269.58400843638606,270.59669302652526,ALO
25,283.3531248,,LEC
