Minisector,GAS,LEC,Fastest
0,308.70208531319724,309.1506588966396,LEC
1,196.72762314760732,198.61513151454395,LEC
2,111.70978030310928,112.04806190354908,LEC
3,193.6485560942153,194.39296976029303,LEC
4,253.4878915194846,252.21018564452385,GAS
5,285.1696088099567,282.6145709950327,GAS
6,302.0901442841527,299.60979181666664,GAS
7,227.90017392909576,225.55730159482053,GAS
8,146.7072305659492,147.28865965953742,LEC
9,229.1146030374603,235.41747653890386,LEC
10,270.79424169385624,270.549356506936,GAS
11,224.77108490473165,221.02636254531973,GAS
12,170.09171138667867,174.50413465616938,LEC
13,109.17280162746401,101.92543575926949,GAS
14,105.28027690338972,107.98503274408915,LEC
15,136.12449812843693,133.3017207849136,GAS
16,114.59964573980129,120.53645190369983,LEC
17,203.26495455753727,208.9456630626947,LEC
18,157.30525030532309,144.54051764062694,GAS
19,152.31821862042952,152.83272721668934,LEC
20,241.76257158929397,243.3354967033584,LEC
21,271.40628227555555,274.82985569523805,LEC
22,290.85629353238596,292.93507825,LEC
23,302.45868035555554,302.553676781899,LEC
24,307.84615384615387,307.35175795,GAS
25,308.0,,GAS
