Minisector,HAM,VAN,Fastest
0,275.2705498617914,277.70677864973544,VAN
1,300.64130116923076,307.99424564096444,VAN
2,313.91932588698415,329.31043943150183,VAN
3,322.85633924568606,343.1065473523809,VAN
4,327.6526985567006,344.5651785142857,VAN
5,323.71471031292515,342.72628299487184,VAN
6,199.19629560154465,186.03883485866666,HAM
7,108.15533606027451,105.68734070504837,HAM
8,189.15306465988672,192.60930005079365,VAN
9,259.9743066074074,266.153282296781,VAN
10,287.6915706986775,297.5877777777778,VAN
11,164.456479480776,156.76465547586207,HAM
12,97.3557124103671,96.46409643863552,HAM
13,118.78968274435182,120.03178069376571,VAN
14,222.6537276234241,216.61598943722944,HAM
15,190.18173619957528,181.71613442762194,HAM
16,221.8701485714286,210.18787805367964,HAM
17,179.86771849738258,172.49776258648197,HAM
18,236.44363081904763,240.90011017543858,VAN
19,278.8802326936934,277.92556114784736,HAM
20,241.28815859649126,225.3747853364874,HAM
21,144.36342722150482,136.1276623450408,HAM
22,100.6792310578748,97.21895884445455,HAM
23,127.54333302857142,123.86663381131721,HAM
24,228.55659236423375,229.13166650666668,VAN
25,259.28333226666666,,HAM
