Minisector,OCO,SAI,Fastest
0,280.8116851749074,292.87462777610125,SAI
1,144.15493356305123,139.80702419961267,OCO
2,214.4864761264814,217.6428959830291,SAI
3,277.3147905709037,281.68722959481687,SAI
4,305.41287465109355,309.6629553037242,SAI
5,295.87080676557076,304.4967985893128,SAI
6,148.06093137095516,154.01356436351958,SAI
7,229.15894110751836,241.4901950639344,SAI
8,105.73981210014101,110.55167682543741,SAI
9,165.7957284410993,162.92671393377734,OCO
10,276.7935286633336,276.25276637706276,OCO
11,292.87024595613747,297.97526623749366,SAI
12,203.2301980043122,221.3067170569412,SAI
13,173.6264261058366,164.25977549294868,OCO
14,279.6836825141406,275.1575672420616,OCO
15,309.49422830973083,310.0718282878353,SAI
16,321.90144654922364,323.95118545305485,SAI
17,328.6225031974153,332.16750653391136,SAI
18,329.36189680725573,335.6706124621619,SAI
19,323.1653737338252,332.1239930057143,SAI
20,183.41023676375457,211.0020458151692,SAI
21,184.2619938854531,159.29211866795308,OCO
22,279.97610108321993,272.8309939005018,OCO
23,311.451996874181,310.08946424747984,OCO
24,319.4655435107976,320.5387725360036,SAI
25,,317.59002762814896,SAI
