Minisector,NOR,OCO,Fastest
0,292.72171665864107,289.10019678557,NOR
1,304.71690417430244,298.67119826729146,NOR
2,305.9582427134499,288.74758493642514,NOR
3,189.24847954955703,182.6150267356229,NOR
4,209.18699232897802,204.0425942458167,NOR
5,203.85310341879352,201.3563350780133,NOR
6,263.21517455223494,258.0733442742857,NOR
7,254.3537356982857,247.83348522733158,NOR
8,205.98980607778245,204.41884415365078,NOR
9,205.35594916040435,201.30054259999886,NOR
10,145.15102444843538,141.2831677209663,NOR
11,198.19108567783053,190.60321553446803,NOR
12,181.40592821824066,178.5446231279477,NOR
13,246.986214230303,252.2631288163265,OCO
14,175.22948646651923,165.6809747511502,NOR
15,238.04087352002952,229.91684414439783,NOR
16,275.58067192066113,273.8914675442424,NOR
17,279.0832797931429,280.0650615846087,OCO
18,272.7965607611561,272.0912281323363,NOR
19,260.3255424360173,253.79248261013345,NOR
20,261.9654312765318,250.94914649661837,NOR
21,262.51228870960114,252.33933821217394,NOR
22,221.13862761830674,219.9293476733383,NOR
23,203.05588855057192,193.15165111724139,NOR
24,269.40133269895784,266.10422750749626,NOR
25,284.37142857142857,,NOR
