Minisector,RIC,GAS,Fastest
0,301.6426268801308,303.11299835804795,GAS
1,244.2380528,232.576284641077,RIC
2,195.37325504660197,190.42502193273654,RIC
3,267.3120159266314,267.85621731850784,GAS
4,222.9192331863351,218.0860125684642,RIC
5,108.15227565542051,109.88905612925085,GAS
6,168.19257870613492,168.20407256268382,GAS
7,254.51629823054188,256.4797158602552,GAS
8,284.9214976863304,284.5141278645143,RIC
9,297.42353685079365,298.99738621614904,GAS
10,299.82814438489856,301.841833344,GAS
11,225.30455756840917,221.07818998531718,RIC
12,141.94823639311522,148.06684057876424,GAS
13,254.92040386206895,257.2006406085903,GAS
14,287.7714480932571,289.4764134023999,GAS
15,293.80468733333333,296.91674339191843,GAS
16,281.13974326153846,287.7868335786667,GAS
17,243.53583094857143,242.24912864436692,RIC
18,169.2362374992045,167.63269704269115,RIC
19,181.9527734787225,178.38517560046458,RIC
20,169.40965681951218,178.255485263938,GAS
21,240.9476455040157,239.65016702065628,RIC
22,119.07208089730203,121.24245080580006,GAS
23,194.87766740413596,195.42997964444444,GAS
24,280.3433468952381,281.1288804783914,GAS
25,,297.4750016,GAS
