Minisector,TSU,HUL,Fastest
0,298.5376438151378,302.70646268084056,HUL
1,211.51208659944376,210.02288482742858,TSU
2,229.62388776644883,232.14329946984626,HUL
3,275.14723690314344,277.6938724005037,HUL
4,234.87677264218607,241.95144930771525,HUL
5,127.77557610813403,123.33525676541089,TSU
6,214.21533125592103,210.09091072096567,TSU
7,261.8105256707438,259.84745355008135,TSU
8,242.16085217454545,253.367295363826,HUL
9,239.9108595958492,236.19571158603173,TSU
10,276.3180505977276,279.22951920728457,HUL
11,294.62151033821647,299.0533918236883,HUL
12,304.14115233444653,309.8495472422804,HUL
13,307.6306818181818,313.5455101910204,HUL
14,308.44686294441556,313.20320299744105,HUL
15,255.64269833163414,252.94018758523,TSU
16,242.00540993219047,240.4529711471746,TSU
17,280.77768264610734,281.0640641186304,HUL
18,293.86696526135046,296.73506885854636,HUL
19,167.19385673809222,162.64560008626438,TSU
20,209.7424252805644,207.8418385802299,TSU
21,179.2493972287416,188.83982711087197,HUL
22,144.5038036833417,135.89704927619047,TSU
23,243.4991611819199,237.0549325767111,TSU
24,283.65697573382806,284.07092893669204,HUL
25,295.0181818181818,299.1222215111111,HUL
