Minisector,RUS,RIC,Fastest
0,250.5961321338388,249.88069260606062,RUS
1,212.2890099650986,200.95307160430107,RUS
2,204.8100756283272,196.16573960357144,RUS
3,254.95541687226387,250.92043715109187,RUS
4,269.33040267132975,265.6865144295873,RUS
5,281.44676059200003,280.3267290104309,RUS
6,166.7230558248189,152.39138947174538,RUS
7,180.1460103270711,175.3604849328409,RUS
8,261.90863188759147,262.5639641955473,RIC
9,285.6008517929881,288.6086914545029,RIC
10,294.6319981624242,299.5653950337662,RIC
11,297.12416634666664,296.55047804341245,RUS
12,108.98952405829428,105.16549455213128,RUS
13,194.04823696203331,187.99618086031745,RUS
14,266.3101385525019,268.0017981706293,RIC
15,287.3924342905263,291.79419139381787,RIC
16,284.41671423792206,293.37140875522425,RIC
17,184.33661213623444,177.42799674077128,RUS
18,220.9254733902948,219.09007467007774,RUS
19,259.30893883225605,264.12091603386244,RIC
20,154.9791979045614,146.29703266023716,RUS
21,144.59085994045657,136.94164052103878,RUS
22,216.9308336134543,212.07052514938397,RUS
23,226.07315616386032,212.48529516323973,RUS
24,165.4616738076169,156.03876981578037,RUS
