Minisector,ANT,VER,Fastest
0,310.3627388773109,313.0249300945454,VER
1,248.57167779381908,239.11125580060215,ANT
2,131.4920157072132,133.00903303351043,VER
3,214.05998433546785,222.07111086814814,VER
4,263.5742564028988,266.98248891241434,VER
5,290.1008911313837,293.5279218346194,VER
6,305.51770563287175,309.1378039595828,VER
7,294.0038889382067,284.4645041756863,ANT
8,177.11559730378377,175.34213218812462,ANT
9,235.63396032059487,242.47940252255225,VER
10,272.0873265780058,275.4198399247524,VER
11,268.78354600144775,260.6290446682353,ANT
12,208.8095640081001,210.62384405665324,VER
13,126.6345584499654,125.61400374621779,ANT
14,119.33873400753912,123.84842381442586,VER
15,163.00089896837926,154.5310910668327,ANT
16,121.00503742222303,125.1701773908224,VER
17,224.23446998890125,229.4544251668027,VER
18,188.0511830789156,184.0961645223815,ANT
19,156.05649385027917,165.92290444947878,VER
20,241.51906792703502,245.13143441955418,VER
21,273.2269823858628,275.3228839068783,VER
22,291.43256190431373,294.5904530686976,VER
23,301.01812498,306.55946489212124,VER
24,307.02241589270784,311.7412202666667,VER
