Minisector,HAM,TSU,Fastest
0,305.1188408115942,304.0427796935818,HAM
1,319.56746016507935,318.1462122666667,HAM
2,304.4002809039189,287.630346026535,HAM
3,113.35186919139737,108.84134578536396,HAM
4,218.6215279243774,228.28170664515002,TSU
5,274.1647534064195,287.15750136935355,TSU
6,219.92187606666667,220.50596199560493,TSU
7,160.7866572244166,156.69677099677617,HAM
8,211.63651834129914,205.84730186775982,HAM
9,223.98624208193226,216.51303755698925,HAM
10,120.75238610948955,118.24325136587137,HAM
11,225.6605025656518,229.26900923543383,TSU
12,123.81291164832548,124.65341165975292,TSU
13,223.04747678058638,225.4123029536508,TSU
14,277.1483331413333,279.50503999645883,TSU
15,217.63198367139853,213.16197833333334,HAM
16,192.22276218476955,195.1112598144593,TSU
17,253.581412429992,252.1071661010989,HAM
18,213.52285061505376,200.04873023495645,HAM
19,175.99780282375735,184.69962271151067,TSU
20,264.0318779003315,264.2400118602705,TSU
21,281.09239132753623,288.8147572444445,TSU
22,178.22276719032584,172.09182964519994,HAM
23,213.00739173947773,217.22096898064515,TSU
24,269.2376020403038,270.1038018225358,TSU
25,282.55,,HAM
