Minisector,VER,LEC,Fastest
0,249.38007697083134,253.509775230839,LEC
1,128.74844669879087,127.33210823280463,VER
2,195.51848224432499,194.88105945566136,VER
3,244.12331141406452,243.89138290910952,VER
4,257.582701357037,257.46257308968063,VER
5,174.02104261659866,171.99572156444444,VER
6,144.3967283948736,144.468377476,LEC
7,177.6899999841626,182.08058867395152,LEC
8,102.26832098306306,99.38244807466447,VER
9,75.72108143933504,71.48650776104668,VER
10,95.89673283339188,94.8427904433991,VER
11,181.03981026872438,187.88427075588342,LEC
12,240.03141306711228,246.38127622510822,LEC
13,256.99053308329,267.52926202728366,LEC
14,262.85532582548484,275.91079274762353,LEC
15,103.65009586431286,96.9191823802294,VER
16,165.9568484365088,156.3415545177952,VER
17,185.1680781806098,174.37438491476945,VER
18,195.42878831814474,199.3777975942952,LEC
19,207.76862659499116,202.30108645345666,VER
20,132.41714328126983,135.7690683645561,LEC
21,109.5977539005001,99.58835850883234,VER
22,97.0372662833624,100.63309607128254,LEC
23,205.07764263103334,201.9645348491228,VER
24,249.81627484675323,252.45706277375942,LEC
