Minisector,NOR,LIN,Fastest
0,248.92023658495242,241.3241015512545,NOR
1,132.52568729435228,138.0776010676771,LIN
2,283.21791770718806,281.9208749362028,NOR
3,321.52255846299727,319.38113072959646,NOR
4,302.3400724429764,301.1112239232451,NOR
5,321.56209540723495,314.48965525467116,NOR
6,323.8500362522751,313.76689722687746,NOR
7,318.6249999259259,310.33761155142037,NOR
8,192.96019182194993,190.85457980589,NOR
9,196.01452303466223,189.59784535770862,NOR
10,173.1637769660933,177.38973557923083,LIN
11,171.251367460703,164.74824441301587,NOR
12,249.49008198484532,238.7519956316563,NOR
13,266.257650603821,250.47618895824638,NOR
14,261.5170862340887,265.0102994383238,LIN
15,252.70188274797613,246.13337843706998,NOR
16,167.02225867986445,173.3704643136722,LIN
17,189.08198408259494,188.9503334340196,NOR
18,250.7211860550616,245.1247360104565,NOR
19,303.22289208330363,297.2426995356009,NOR
20,323.48845825092786,317.52101589241784,NOR
21,315.2009595768915,294.811566807456,NOR
22,300.9968347373871,275.7962039746382,NOR
23,249.3566832908642,261.96810513885436,LIN
24,117.6046926957821,120.59600447534088,LIN
25,229.7995454977511,220.49221073988002,NOR
