Minisector,RUS,NOR,Fastest
0,310.5209711643592,296.84434027015874,RUS
1,246.57503877723613,230.1750103259843,RUS
2,120.74970313345247,124.53276759543326,NOR
3,237.77615599223765,241.38757759509429,NOR
4,194.45418042073234,193.28775289875225,RUS
5,244.12732864510133,249.74447131524695,NOR
6,225.7319682310178,237.24884759677957,NOR
7,256.84367866455716,259.82324301781836,NOR
8,295.8076502265688,284.66368670319594,RUS
9,200.5831051977795,208.44355903295485,NOR
10,207.05268278799286,208.59502523159276,NOR
11,277.5306011085325,271.2561129992958,RUS
12,213.5388643373674,218.9491075624373,NOR
13,252.16306180243035,253.85856714758316,NOR
14,298.84493830544005,291.8810446281674,RUS
15,314.83317650086957,305.8228717312973,RUS
16,319.9669414405079,302.53731064278566,RUS
17,205.7431244475388,208.72103035327035,NOR
18,260.24047745193343,263.90500963730705,NOR
19,300.81622656426794,293.97664226668405,RUS
20,316.6127696834161,306.4385249795445,RUS
21,319.22491183171843,298.9485470280638,RUS
22,150.25672274710405,153.11566621889241,NOR
23,236.0129933656795,239.3135624364595,NOR
24,292.2505696388162,284.1925847047029,RUS
