Minisector,SAI,RIC,Fastest
0,303.122000384,297.37957144990474,SAI
1,158.07269432916732,158.19422928881082,RIC
2,154.51417367795378,149.24158000763828,SAI
3,221.74091827411482,225.2966392976555,RIC
4,287.9013117085188,288.120375396337,RIC
5,299.9351191055901,289.40972222222223,SAI
6,146.62871132698945,144.32478506447322,SAI
7,140.27032825546206,138.25559992847425,SAI
8,149.12524908325042,143.87966858636787,SAI
9,178.95152257637187,185.80959501379579,RIC
10,130.3014118781394,128.30890959498947,SAI
11,125.90959838176016,123.74375457798487,SAI
12,164.77335490858073,167.5826501433637,RIC
13,267.6417140978878,271.9259037855379,RIC
14,294.7708333333333,291.5847204136306,SAI
15,151.4728020108458,149.10806501676208,SAI
16,208.28254069278628,208.41437674469393,RIC
17,167.2414224579369,167.2794138170362,RIC
18,271.03466645333333,272.58024691358025,RIC
19,295.1106399809524,297.5235964693198,RIC
20,309.220868501805,310.69742063492066,RIC
21,315.7971014492754,318.1899077245643,RIC
22,318.3112621399067,319.8333333333333,RIC
23,323.4716720900433,321.7348484848485,SAI
24,324.24775837337603,320.3071180888889,SAI
25,324.5416661333333,,SAI
