Minisector,VER,OCO,Fastest
0,259.9925980052481,263.5352902339416,OCO
1,134.75549646380196,134.89015989817386,OCO
2,264.36411456809213,265.9996618892377,OCO
3,306.3925345587302,307.8847750359008,OCO
4,303.8758887964444,307.07521047960887,OCO
5,312.03592575303577,313.64822592513576,OCO
6,318.06739130434784,319.0496528,OCO
7,318.2992452967903,316.90973375508753,VER
8,202.4513566701145,202.70608284929736,OCO
9,205.5089937788043,197.67253924736164,VER
10,186.56521953021704,185.04012116462587,VER
11,168.2108853122565,161.15457744344428,VER
12,256.7351997057471,252.7158346361215,VER
13,280.46733735430996,277.4052467753086,VER
14,282.96570465641025,278.2662501058495,VER
15,280.7514835223635,269.69751189659866,VER
16,186.72644853296592,185.23250200121194,VER
17,194.02489396434677,188.78099214144154,VER
18,243.70345626434727,242.48396921691787,VER
19,289.6060891076923,289.4865710384762,VER
20,311.42518089275364,312.93883332266665,OCO
21,319.1300594793651,319.7383453371981,OCO
22,318.7174106095238,318.89484326623415,OCO
23,256.66480345440675,261.13339875002646,OCO
24,118.03915745324035,115.18982496224667,VER
