Minisector,VET,HUL,Fastest
0,268.2828426666667,274.6032697058655,HUL
1,300.60975389306446,298.1656743415873,VET
2,316.2333688373484,309.72153857833274,VET
3,325.4307935593651,316.6711906336508,VET
4,330.69006005905055,321.4767856761905,VET
5,332.8705356952381,324.8015413322131,VET
6,287.81960784313725,195.1411477111111,VET
7,114.35888239901217,108.45142840610009,VET
8,150.72452366730158,194.85602171499167,HUL
9,255.1195272871463,265.008015493778,HUL
10,292.6343748666667,291.96694442666666,VET
11,247.76506889624062,158.55337509923453,VET
12,92.96323903895318,100.23250180022346,HUL
13,110.1733418112866,122.58146346462962,HUL
14,217.07024707720524,221.50708211809524,HUL
15,193.63249975466667,187.0055220471014,VET
16,227.19856372975832,222.5363095873016,VET
17,191.57023110699512,174.35203614282986,VET
18,226.15134814409512,243.04610517156252,HUL
19,277.0169118745098,282.73958366666665,HUL
20,293.4182637091262,240.62293788164183,VET
21,155.55032927947457,145.78317963502303,VET
22,104.075073738717,99.64732342383878,VET
23,120.5268991692916,130.62641195093732,HUL
24,206.88623188405796,229.39904057714284,HUL
