Minisector,RIC,SAI,Fastest
0,273.90329634646906,277.183489510559,SAI
1,291.1231061818182,295.1037824487597,SAI
2,222.7797265736563,222.04818846733772,RIC
3,129.60509225086523,125.76723432366411,RIC
4,186.31332673414,183.53424436397214,RIC
5,124.66590473349699,120.39374231135554,RIC
6,213.8192097924943,213.777415241014,RIC
7,261.43458124094525,256.6781667535238,RIC
8,184.54098152926682,175.04455779533635,RIC
9,181.3831789468159,187.5624090841729,SAI
10,260.56448713815433,265.4008805763975,SAI
11,189.17923401699045,187.3144276433451,RIC
12,166.945366144053,167.47556719805988,SAI
13,253.99231951765762,256.1075003733333,SAI
14,270.7831631278935,273.02480201428574,SAI
15,283.29563504761904,285.49808236146197,SAI
16,209.0208538381791,201.84758240990354,RIC
17,198.68489606666668,193.21108400956916,RIC
18,245.87942896731923,246.58493735384616,SAI
19,282.33876860289854,284.39705764164387,SAI
20,292.3112251912993,294.17502541987847,SAI
21,197.86924679951605,197.3364930810637,RIC
22,151.09377632581177,151.3254145356656,SAI
23,157.0112500068564,157.04185247838404,SAI
24,228.06815295036475,226.93716476798934,RIC
25,260.8333333333333,,RIC
