Minisector,LEC,SAI,Fastest
0,273.63360506896333,269.59007737111114,LEC
1,299.35026004086575,299.0105802171044,LEC
2,313.10221886058366,313.23218110920436,SAI
3,322.0975001884444,320.88841655466666,LEC
4,325.54702395646257,325.17952985738526,LEC
5,324.4665909697048,328.69567219563896,SAI
6,184.09583805938595,202.90973874271782,SAI
7,103.80161417814442,103.30421648601869,LEC
8,181.24917674026668,183.17143326012504,SAI
9,258.9766765792579,262.3815785550092,SAI
10,288.9026840407843,291.55870543349204,SAI
11,174.2477313006073,151.38311125614172,LEC
12,91.22739408333771,91.7599881766175,SAI
13,108.07080299831772,111.73785252915131,SAI
14,214.13773901588092,217.63338132121214,SAI
15,178.91205101136288,177.3631244684656,LEC
16,218.50290520618094,213.62818051278717,LEC
17,175.42094107133642,169.78623506253035,LEC
18,234.39678801283026,238.88608364175084,SAI
19,275.4440362066007,283.2979401908318,SAI
20,249.92297339221727,237.66635081286972,LEC
21,144.66920075988796,144.07695309531965,LEC
22,95.76626546231851,96.87097204456515,SAI
23,122.64272144629336,121.94282298200217,LEC
24,227.0468225511846,227.4668420250505,SAI
