Minisector,BOT,RIC,Fastest
0,275.71625026545854,280.5654419974455,RIC
1,288.6974303825123,296.32293075839436,RIC
2,288.5151620029283,290.4524997184107,RIC
3,183.58537151826408,175.33583877773626,BOT
4,138.81535320837335,127.58713310173503,BOT
5,244.5397075942721,244.49395453910546,BOT
6,282.606285624788,295.5614353605707,RIC
7,293.57367156567926,298.13920794024835,RIC
8,191.6559800079815,169.09277674896893,BOT
9,154.90396246326546,149.4276931828459,BOT
10,254.84580071460948,258.298110987137,RIC
11,284.25519376008657,290.09452951747875,RIC
12,294.0973015890966,294.9447452331349,RIC
13,289.0307594020967,281.5078565577618,BOT
14,299.3324386736091,302.38662421969065,RIC
15,297.4203868473116,303.02532563491377,RIC
16,264.29447770077894,251.10250119493477,BOT
17,241.83076652335546,231.26347415273358,BOT
18,282.63835490742605,291.7868226934415,RIC
19,299.964963082036,321.3155398228479,RIC
20,306.87043722151776,324.8928966955153,RIC
21,253.25237165039286,205.67194095896767,BOT
22,267.3553685497707,255.18049196682784,BOT
23,140.50167038791304,136.7224625474443,BOT
24,225.51099242138702,224.1902446396755,BOT
