Minisector,RUS,PER,Fastest
0,303.8335151542857,292.3278545523809,RUS
1,316.77754913114285,303.1945041672317,RUS
2,321.4891433533336,297.76603140849994,RUS
3,186.709401734428,177.72476581889427,RUS
4,206.1893562176086,208.3379615206407,PER
5,202.48684332416155,203.74266047019373,PER
6,258.9922966384689,262.48548188904005,PER
7,253.5184609886484,245.83397391872214,RUS
8,201.94164266710453,199.92101545072796,RUS
9,205.80138885079364,197.29010850831423,RUS
10,145.10504222558558,148.43348415853083,PER
11,201.78599724263051,180.69392197229314,RUS
12,184.1574851504303,190.9524658915134,PER
13,245.01204832741703,237.63244978992407,RUS
14,176.88658893930796,170.83664170410196,RUS
15,229.19492844761905,239.26375961906072,PER
16,269.5198394964858,275.9500562962963,PER
17,272.05317233939394,276.1154811525079,PER
18,261.16995984839537,262.7667550427013,PER
19,247.24563761433933,250.31338522666667,PER
20,249.78977272727272,251.36278629412928,PER
21,252.37188528139555,261.3978988478675,PER
22,218.6081945342382,191.90744060059643,RUS
23,199.464049357817,208.78307203630752,PER
24,265.27017620070075,271.2631007940741,PER
