Minisector,VER,TSU,Fastest
0,298.85274971225397,309.61305880242423,TSU
1,135.20487962178925,137.30806758787847,TSU
2,212.79285822315947,208.76801242843675,VER
3,279.8266848183878,272.34973959715927,VER
4,319.9129483579494,309.0691089538756,VER
5,315.87517436121215,312.11545325519035,VER
6,145.60912568262364,147.59420740374418,TSU
7,240.87030987701425,242.14372696696225,TSU
8,112.17197675184865,116.25304879974644,TSU
9,154.8249762851282,146.92214388642572,VER
10,274.62601324444444,270.26716936519347,VER
11,298.4454001108067,298.50081510260867,TSU
12,251.39070118252874,244.12746612474916,VER
13,154.7816658445501,150.19728329875582,VER
14,272.10538864242915,271.3088081627032,VER
15,308.4740463737198,307.14016166990984,VER
16,323.2121877029787,321.33363707222225,VER
17,334.89565239033817,327.84490044121213,VER
18,344.187860009697,332.4939082244156,VER
19,349.18564341778034,335.97082304265007,VER
20,223.03961010372788,231.41434467143156,TSU
21,146.89436647205562,153.14411690556884,TSU
22,273.17824968023086,273.69874055301585,TSU
23,310.90158773115644,309.5909543599172,VER
24,325.88246929626723,324.2246475531313,VER
25,324.6583338666667,,VER
