Minisector,BOT,ZHO,Fastest
0,271.9114151786667,274.41245694342524,ZHO
1,109.69588035089699,112.32535023456151,ZHO
2,163.67837566164874,158.44252981202598,BOT
3,191.66802364775708,208.09349394086877,ZHO
4,154.25043157197885,160.45219217982304,ZHO
5,238.77259372457812,238.98328765409155,ZHO
6,188.22577056841612,192.5174454315287,ZHO
7,129.6805756825918,135.40587002422944,ZHO
8,242.31340758036632,235.2496273707922,BOT
9,281.20831766552385,277.95297302891777,BOT
10,282.2022595453968,275.651309125337,BOT
11,140.37754200555415,138.51006884314074,BOT
12,221.37538042828282,218.7679910515439,BOT
13,266.05478742290023,265.0398284304762,BOT
14,249.5312241136508,248.0504253062434,BOT
15,95.55094505204166,104.79851771690619,ZHO
16,222.36168665044207,221.3012027204301,BOT
17,274.20086626939906,273.85488478704355,BOT
18,303.557250752,303.27900412417785,BOT
19,320.4664051646984,318.9426067358193,BOT
20,329.85601815836895,329.50707177142857,BOT
21,287.94598609428573,274.7597737714927,BOT
22,137.7432622274511,146.10411080574923,ZHO
23,234.50606310398751,238.9043552605107,ZHO
24,284.58124435555555,285.060077798934,ZHO
25,298.3312496,,BOT
