Minisector,NOR,HAM,Fastest
0,290.8162354261396,297.7797956152749,HAM
1,158.25735923074157,163.96248617642917,HAM
2,156.3496581033611,155.49906231012724,NOR
3,232.29209705909102,229.13838681429846,NOR
4,295.7378641711057,290.60530108322405,NOR
5,289.60758438287644,285.1895253611594,NOR
6,145.70786282430322,145.62726348656108,NOR
7,138.7511770893852,142.639398058934,HAM
8,135.41771171009984,136.5988324991584,HAM
9,195.59330166332938,197.38317599770937,HAM
10,130.60980194497114,134.63169124348536,HAM
11,128.7432834589961,128.98574362966175,HAM
12,174.83100526814735,178.9404173447288,HAM
13,270.9166522960854,270.41230262342054,NOR
14,293.7974534961947,293.6896065092717,NOR
15,147.33992145170916,150.37003084265126,HAM
16,199.06659897654615,200.02538388522962,HAM
17,175.36722383919513,181.81852234932478,HAM
18,272.46383502091226,275.1661892939652,HAM
19,298.80693603459156,297.8799538786347,NOR
20,312.24855536447205,313.1322260455455,HAM
21,320.07551827112627,321.95209983006436,HAM
22,327.8177567690488,326.28034632119585,NOR
23,338.42509717422223,329.49271772934287,NOR
24,341.1002842734497,324.4997695783872,NOR
25,340.884735378888,,NOR
