Minisector,VET,BOT,Fastest
0,268.2828426666667,264.855633362963,VET
1,300.60975389306446,297.4876740279838,VET
2,316.2333688373484,313.2023365737878,VET
3,325.4307935593651,323.15154784507934,VET
4,330.69006005905055,329.60119055238096,VET
5,332.8705356952381,332.35714285714283,VET
6,287.81960784313725,282.6164409904762,VET
7,114.35888239901217,114.83643071405977,BOT
8,150.72452366730158,151.7015284977778,BOT
9,255.1195272871463,251.40739412153607,VET
10,292.6343748666667,289.92000035555554,VET
11,247.76506889624062,243.81270672,VET
12,92.96323903895318,94.23296588199207,BOT
13,110.1733418112866,112.97383564279501,BOT
14,217.07024707720524,216.91086305523808,VET
15,193.63249975466667,196.01479580082935,BOT
16,227.19856372975832,226.23178557714286,VET
17,191.57023110699512,191.25709408888886,VET
18,226.15134814409512,228.96504559284554,BOT
19,277.0169118745098,278.05735190588234,BOT
20,293.4182637091262,295.28444444444443,BOT
21,155.55032927947457,158.4608523479365,BOT
22,104.075073738717,100.30749088500195,VET
23,120.5268991692916,120.22804783297336,VET
24,206.88623188405796,206.1003070108609,VET
