Minisector,LEC,RIC,Fastest
0,273.7352496604444,267.9430051050273,LEC
1,233.77126637360936,221.37717937918873,LEC
2,112.79918262492488,109.12488831133253,LEC
3,182.17393750602966,189.52603844267634,RIC
4,182.94314911891985,169.9212739514869,LEC
5,220.41258585236412,221.93113002956315,RIC
6,271.23316393351126,269.9529469383786,LEC
7,289.1383551588304,278.41233553684214,LEC
8,185.70367896288198,157.88820531314852,LEC
9,131.19100507552082,129.50043262428642,LEC
10,138.6696033122238,138.62861330481545,LEC
11,192.71068476952084,213.48291702153847,RIC
12,218.29683374933336,181.2689061485167,LEC
13,132.6414378330421,128.42109414676668,LEC
14,145.79413269339352,110.75297954037806,LEC
15,133.6405631419166,184.32785682742858,RIC
16,248.9797670442701,249.9826415923803,RIC
17,145.16907852372813,124.24355871998966,LEC
18,194.1746796137931,191.18809586681115,LEC
19,124.05271354906226,111.42259632444792,LEC
20,132.685920029889,108.80563731528964,LEC
21,121.8072110977344,121.58869883236896,LEC
22,140.33060491910072,186.52960115091193,RIC
23,215.7142592474074,205.9237361950476,LEC
24,236.85373458295695,244.72983683287129,RIC
25,259.58729891516356,,LEC
