Minisector,RIC,PIA,Fastest
0,273.6000373688889,272.47528071217397,RIC
1,298.2659493252873,296.3522386825397,RIC
2,311.1314359399495,309.4643837962161,RIC
3,318.82119429238094,318.9001666346667,PIA
4,323.4726191537415,323.6995715311746,PIA
5,325.76244805333334,327.1017658514285,PIA
6,198.6479463061771,209.71971023763044,PIA
7,102.68666083712601,104.37859811383997,PIA
8,187.53027784682033,185.80216530793652,RIC
9,263.53972019292945,257.34902167987286,RIC
10,291.06604431939394,288.44955030944993,RIC
11,157.58975622675442,151.1490483293964,RIC
12,94.03969025692119,96.59336836719092,PIA
13,115.36747173190398,114.80708655288888,RIC
14,216.7554008927222,212.4774792161728,RIC
15,187.92355277493238,183.36674761266644,RIC
16,219.31641094327574,217.12147653531116,RIC
17,173.1077493756916,169.91604826848476,RIC
18,232.63319646943842,240.6432365492828,PIA
19,276.92845564,278.7234507201411,PIA
20,241.09512679183783,229.92271645835223,RIC
21,142.05323892399932,134.14244736199413,RIC
22,92.58423525138754,94.69406270312507,PIA
23,121.71890986485002,119.30488615393394,RIC
24,223.8334670238384,225.306692783009,PIA
