Minisector,LAW,NOR,Fastest
0,289.0769258989051,290.8162354261396,NOR
1,160.62502477307493,158.25735923074157,LAW
2,164.99528355178683,155.98530707131457,LAW
3,231.9425233177957,229.91023135854556,LAW
4,288.870508667248,295.1121899583893,NOR
5,281.5731983978929,290.4357946503585,NOR
6,144.0331214740019,145.2505593949108,NOR
7,144.93511600438686,137.5252021175999,LAW
8,130.8709616617675,139.37731038561975,NOR
9,187.3480991090141,181.54468424988153,LAW
10,140.99334307834272,130.46176292977322,LAW
11,127.86753515438696,132.07149999898562,NOR
12,174.5033196135826,167.87409756806508,LAW
13,270.43073779485206,269.1108551946361,LAW
14,293.90165538518255,293.1915783293468,LAW
15,152.37922089488472,151.64751230318558,LAW
16,202.7018915652661,211.1211982244936,NOR
17,179.84815190570203,163.61642957237274,LAW
18,273.1988176239287,268.03367395585883,LAW
19,294.9338487006781,296.8415742359109,NOR
20,310.10974175703956,310.7683179994203,NOR
21,317.19566742254887,319.54205838641394,NOR
22,321.91765422337664,326.66550952355965,NOR
23,321.193248984103,337.4778097271338,NOR
24,310.1358280693957,340.96698252605523,NOR
25,,341.41412256314806,NOR
