Minisector,VER,ALB,Fastest
0,294.12602775820665,299.35027754158733,ALB
1,164.81392592021993,168.53306257025451,ALB
2,179.9087728357092,177.0061747212179,VER
3,251.8232843276334,257.59269472832705,ALB
4,284.0221706764289,286.366485244839,ALB
5,260.7285118114286,246.91033313523812,VER
6,228.13188614509403,226.27251772763523,VER
7,151.83054542746203,149.55700343091002,VER
8,222.4008351753484,230.7826789382099,ALB
9,278.9873109317172,287.0021201518643,ALB
10,299.88021457290927,306.7617559917649,ALB
11,310.84325984174984,316.480010424,ALB
12,315.38846760293427,321.10074071703707,ALB
13,317.0764677257143,322.47003286736845,ALB
14,131.7228915194798,129.31484547467866,VER
15,121.57868503644549,116.29586531112632,VER
16,105.33993489431883,105.2131341436661,VER
17,230.6876149769375,238.31492826244718,ALB
18,283.22120336922154,288.47284293269007,ALB
19,303.65332514938774,308.1643561295031,ALB
20,314.07729197860965,317.13434891126224,ALB
21,315.5611702057093,320.7248109418143,ALB
22,126.30402593853213,126.0332501465194,VER
23,199.60627279763924,206.73728143695692,ALB
24,270.2404214864198,273.12764636056147,ALB
25,285.64999936000004,,VER
