Minisector,LEC,RIC,Fastest
0,251.14542690041552,249.88069260606062,LEC
1,205.25802692431452,200.95307160430107,LEC
2,197.78455123590595,196.16573960357144,LEC
3,248.36276414086953,250.92043715109187,RIC
4,269.0139604295856,265.6865144295873,LEC
5,286.3686645093461,280.3267290104309,LEC
6,150.1979884508895,152.39138947174538,RIC
7,176.48337288051314,175.3604849328409,LEC
8,266.3373493348792,262.5639641955473,LEC
9,293.2719334877558,288.6086914545029,LEC
10,306.7939920255892,299.5653950337662,LEC
11,307.70919189707604,296.55047804341245,LEC
12,107.65310309767308,105.16549455213128,LEC
13,186.0300724098297,187.99618086031745,RIC
14,277.05298354733895,268.0017981706293,LEC
15,305.18092697843787,291.79419139381787,LEC
16,310.43708308317457,293.37140875522425,LEC
17,174.73799441857963,177.42799674077128,RIC
18,210.59957475102038,219.09007467007774,RIC
19,263.96809227230284,264.02696183555554,RIC
20,144.33602575327328,149.21661722949966,RIC
21,139.74833232549042,136.3821437889699,LEC
22,218.7278756096,210.1790242179253,LEC
23,230.63846181850676,212.48529516323973,LEC
24,153.05652032263743,156.03876981578037,RIC
