Minisector,OCO,RIC,Fastest
0,295.01819197142856,294.7381722548303,OCO
1,304.60885888581004,303.8365075809524,OCO
2,311.1141026461538,309.9431735779389,OCO
3,309.5243525937871,311.10849189587304,RIC
4,187.7041120132505,189.2219681229448,RIC
5,97.55196274311024,100.01747614036266,RIC
6,199.3398124679833,202.4369753435166,RIC
7,253.76862775574227,255.16651647942368,RIC
8,280.2537740271524,281.8884331610327,RIC
9,288.34401073333333,291.5937514666667,RIC
10,149.75176778224858,151.99517484625852,RIC
11,173.70800119466665,171.22284413642683,OCO
12,235.42415341938073,238.37786392760412,RIC
13,241.3289855118753,237.677629922807,OCO
14,154.36999206042694,151.52239818275572,OCO
15,209.8357757652489,213.3017691253975,RIC
16,259.1399517605698,260.4939129950867,RIC
17,280.8066669511111,281.4190470501587,RIC
18,293.6049633870252,293.298668144489,OCO
19,301.8925015807789,300.81785737142854,OCO
20,279.69408146666666,286.7391353160573,RIC
21,146.0943174024526,147.7531397804848,RIC
22,204.76390775440578,206.94018003809526,RIC
23,257.17489576694675,256.45402529901787,OCO
24,280.756750231735,280.41055509333336,OCO
25,,289.6736415118794,RIC
