Minisector,RUS,STR,Fastest
0,272.67529010766486,273.26289717772005,STR
1,126.14737439396015,118.43205919174214,RUS
2,154.24439088696144,157.12734640768758,STR
3,213.75161158767506,207.04113251335173,RUS
4,161.76925205918175,155.55394438398636,RUS
5,237.26009508398474,237.96740336922304,STR
6,216.35754374407958,203.7163992886019,RUS
7,133.58999688338832,136.38124777035924,STR
8,227.43218473052613,226.47988863142746,RUS
9,267.92465180921886,270.3038985930159,STR
10,271.89872256962406,266.7776591522485,RUS
11,146.51573581280454,137.05379382777323,RUS
12,215.45655460193623,220.5561295847619,STR
13,262.07068249200046,266.16234544941176,STR
14,249.48224095999998,247.8908335649524,RUS
15,100.00053924350522,97.98261413628107,RUS
16,217.02567462466743,222.8855696365714,STR
17,264.1532118632869,273.5313508258518,STR
18,286.71536685950736,291.36815689752376,STR
19,297.20960233965593,302.4184663053051,STR
20,304.1276353502075,309.08338741898103,STR
21,287.44720502235305,244.89233603232321,RUS
22,149.98030623806898,141.71102013878345,RUS
23,231.85918757239764,235.3927635843386,STR
24,272.3194382596752,275.6264831226593,STR
