Minisector,STR,ALO,Fastest
0,315.47499059938804,319.57644961656314,ALO
1,322.95804224559697,329.29829541818185,ALO
2,321.2158942666041,328.28195738781335,ALO
3,197.5762342592996,194.93752459666177,STR
4,116.70135400577685,116.92105786668394,ALO
5,261.5040610464747,263.03095362721086,ALO
6,295.95256252730377,299.7723960471336,ALO
7,301.26041662222224,313.50510814236077,ALO
8,277.6083312,285.4127362883989,ALO
9,142.25189312690148,138.09531700804976,STR
10,221.5120179610141,217.36867723111848,STR
11,210.49455086282978,206.38038076530302,STR
12,194.4060453006695,192.35435493832568,STR
13,266.23692746948853,263.81026729251704,STR
14,297.44800708240166,302.9189082900339,ALO
15,302.4411458222222,317.40688408115943,ALO
16,264.70962374448436,253.88072375451438,STR
17,198.27664702759355,198.87322236444047,ALO
18,265.7863773948718,268.1602489134157,ALO
19,298.3390628444444,303.57504891767513,ALO
20,306.79652782222223,318.48026339774003,ALO
21,297.7578124,298.748166784,ALO
22,206.89917235555555,202.725227827451,STR
23,260.0043209481482,260.0686540920605,ALO
24,298.2589637511078,300.30104133333333,ALO
