Minisector,BOT,VER,Fastest
0,264.855633362963,265.36271983157894,VER
1,297.4876740279838,295.7606880005601,BOT
2,313.2023365737878,310.321785975873,BOT
3,323.15154784507934,317.88833336888894,BOT
4,329.60119055238096,322.571131047619,BOT
5,332.35714285714283,325.5,BOT
6,282.6164409904762,285.9559108142675,VER
7,114.83643071405977,112.4295572713849,BOT
8,151.7015284977778,146.20235568272716,BOT
9,251.40739412153607,249.37662162962962,BOT
10,289.92000035555554,288.3833611351855,BOT
11,243.81270672,251.36090719130797,VER
12,94.23296588199207,92.46890825139889,BOT
13,110.47669409160144,109.1525298100451,BOT
14,212.00229974718613,205.8842812121212,BOT
15,194.80231427626376,192.88816622933334,BOT
16,224.27460317460316,221.04216456320984,BOT
17,193.21483206984126,189.1967758222222,BOT
18,225.41048500809393,220.13284587997398,BOT
19,276.0509525938254,273.00917381736696,BOT
20,295.14166666666665,290.97838486666666,BOT
21,157.85605415303777,157.20506522910685,BOT
22,101.41019003177736,103.03803418714482,VER
23,119.84669487059865,119.14484634385965,BOT
24,206.1003070108609,195.25625035555558,BOT
25,,244.885416,VER
