Minisector,GAS,ALB,Fastest
0,260.07992682041584,254.6668079784985,GAS
1,133.8301186252415,131.75762839063796,GAS
2,198.24884321185183,195.4735178390003,GAS
3,244.80516626694364,245.86754835199437,ALB
4,260.92454875930446,255.09849814397407,GAS
5,183.5162043280922,172.30825520936224,GAS
6,151.03673660301402,144.33549017608044,GAS
7,189.5786625954246,180.03982522474527,GAS
8,106.51034093675575,102.31641095531269,GAS
9,77.5245081030543,74.09577812795331,GAS
10,97.53906338288995,95.70065542258077,GAS
11,185.53902081204464,187.71995459069836,ALB
12,244.1138521943801,247.30331137473556,ALB
13,265.67684840869475,271.28903811076816,ALB
14,278.56726919797387,279.64403004936116,ALB
15,121.10980029274215,110.41652689120812,GAS
16,149.27762160313432,151.98592219508566,ALB
17,189.64868429473685,183.5117626869743,GAS
18,197.51080442300386,195.8012292189489,GAS
19,208.84366908545542,203.23850833633674,GAS
20,137.29074335196464,137.2421815275293,GAS
21,116.73430009413923,106.02809902866439,GAS
22,98.29407290187433,101.8806664842077,ALB
23,196.70968616240782,203.1819678530953,ALB
24,248.40126762325812,252.45823055184695,ALB
25,261.23333333333335,,GAS
