Minisector,BOT,HUL,Fastest
0,274.7262958341737,275.48584483044914,HUL
1,298.5689775219076,298.93229135238096,HUL
2,311.7969444977778,311.5976562,BOT
3,319.51645417142856,319.0433673469388,BOT
4,324.2341411918368,324.37852562051285,HUL
5,325.23310787820344,322.91190476190474,BOT
6,208.15452697971014,213.71122814891777,HUL
7,112.77184758741697,105.89847717491621,BOT
8,194.95297727867495,192.53290253952886,BOT
9,264.3576845275815,266.5696426935574,HUL
10,293.66328132380954,292.88214285714287,BOT
11,168.68693575089276,169.71642397497914,HUL
12,101.6388327904411,99.22745395451986,BOT
13,119.29374733035648,117.80020455220773,BOT
14,226.3315279822222,223.85535781854637,BOT
15,198.893735032788,185.0227823296792,BOT
16,239.59067486395554,227.25104300490912,BOT
17,194.35529038966342,176.09535987956346,BOT
18,244.9533399491324,241.04035138245615,BOT
19,282.9420176044818,281.5431544285714,BOT
20,261.2019608470588,255.571117687411,BOT
21,147.1573729096393,146.9596849775478,BOT
22,100.87800132970582,98.80371779725303,BOT
23,129.86169521403338,127.20322043759604,BOT
24,227.57645904,224.61691280489907,BOT
25,256.63333546666667,258.93333120000005,HUL
