Minisector,HAD,RUS,Fastest
0,207.05159670222224,118.31533605540052,HAD
1,205.0,163.38434236480583,HAD
2,243.7105316605215,207.38158113292732,HAD
3,272.87833294222224,232.36506063238093,HAD
4,280.4857145904762,264.16774849947484,HAD
5,167.8211200688172,283.48470108333333,RUS
6,112.867652236,291.54285714285714,RUS
7,149.22661063225806,292.2027273309091,RUS
8,197.5515757848396,252.02053869425094,RUS
9,161.66967741935485,215.36370419809523,RUS
10,103.9458646534321,200.0,RUS
11,128.24215695686274,194.80066897598243,RUS
12,178.83103127107992,139.93054122467726,HAD
13,172.43153846153848,141.3545472,HAD
14,126.84609267794741,188.60865563076925,RUS
15,140.38996279911862,221.53349008922626,RUS
16,190.6445711481905,159.95898448233444,HAD
17,235.911719815013,111.06942658545978,HAD
18,255.963623856,151.14244906666667,HAD
19,277.875,198.78783667692306,HAD
20,299.26875,158.93729189751153,HAD
21,308.40333312,152.64139960430109,HAD
22,312.2,157.02703753481484,HAD
23,322.6981816630303,194.6553370747066,HAD
24,323.84,,HAD
25,323.0,,HAD
