Minisector,PIA,LEC,Fastest
0,289.808713094133,293.70869081142854,LEC
1,296.1338816327485,304.83650318702234,LEC
2,290.07780263818023,291.0997871809774,LEC
3,116.84701955807817,110.00514535390788,PIA
4,223.70772026008657,220.40160385346502,PIA
5,274.320761001864,274.3051414773183,PIA
6,212.0763075044898,209.38369851950708,PIA
7,161.81510386512207,154.1784975187995,PIA
8,207.21876556364936,203.38795778428914,PIA
9,216.88550014589313,220.30890622098386,LEC
10,121.13784789768569,121.15297747954934,LEC
11,229.76969144495112,229.59511529578361,PIA
12,117.98875618291072,116.52567766641259,PIA
13,223.65769614160342,230.39528356317462,LEC
14,276.78290679674893,277.4718939229257,LEC
15,218.77189154428277,213.94704673922902,PIA
16,192.31032095000995,189.4771925495872,PIA
17,247.3642064378999,251.69916687183672,LEC
18,206.06931849687004,189.3246914621216,PIA
19,183.10139689452555,186.0740049599162,LEC
20,262.4616007873775,267.4681343011111,LEC
21,290.9003041288889,287.4844955972789,PIA
22,171.7573106120513,165.4612336100901,PIA
23,210.41902130514285,204.93631784089212,PIA
24,267.5040450107346,276.4850069029957,LEC
25,281.92857234285714,,PIA
