Minisector,LEC,VET,Fastest
0,279.5145243755026,279.70946879927953,VET
1,296.16210573468095,296.9842714388993,VET
2,294.3353748458639,296.4040194598194,VET
3,176.12253862179443,170.5234730978029,LEC
4,125.2479519723836,121.86425860361953,LEC
5,243.1301568893879,240.26850407217162,LEC
6,283.3085489420254,282.8295671794872,LEC
7,292.75350761997265,293.2872867903224,VET
8,180.7603295981117,182.45546270050647,VET
9,148.31398930360135,145.03160261787775,LEC
10,257.7355024071562,255.94803948472645,LEC
11,291.5359474753928,291.37367692094523,LEC
12,298.3617840626742,300.6048994707612,VET
13,278.2234602158759,277.41272725135445,LEC
14,296.52566917759503,294.4872718676415,LEC
15,301.63230717490575,297.908166784,LEC
16,247.9906732495238,257.649535895751,VET
17,222.7623809456892,222.2782199730868,LEC
18,276.94120414814813,275.3409693097004,LEC
19,298.5275718789763,296.9207588417179,LEC
20,302.7988329386667,302.3390202678614,LEC
21,231.05344035255163,232.31483441918246,VET
22,262.88524697142856,259.49972007545364,LEC
23,142.31006301653457,140.9104883928625,LEC
24,225.07385734517297,214.88069000375307,LEC
25,,260.73333333333335,VET
