Minisector,LEC,PER,Fastest
0,272.95022562646614,270.7979968727526,LEC
1,249.14912319102132,241.89671317713575,LEC
2,122.50914811928206,118.52441852846188,LEC
3,169.72035449686726,170.38005200701966,PER
4,198.89326169914673,185.9587032872714,LEC
5,195.29399650490842,194.17700231638412,LEC
6,267.3231341359045,270.213236741938,PER
7,288.54479065223285,298.48190080262475,PER
8,235.92245314426808,228.53016984890593,LEC
9,147.90757590842503,144.17254809822222,LEC
10,117.98601413342912,115.23282313192419,LEC
11,154.8695430245695,150.3827540405092,LEC
12,249.504284495931,240.12177066888887,LEC
13,154.56076927453262,148.63467110413205,LEC
14,154.71382673694436,144.36123811415706,LEC
15,109.6637649930638,110.512371742957,PER
16,219.80875635153242,220.63733688516015,PER
17,234.94163870730156,236.0925719279572,PER
18,131.33706406561126,126.2329897085623,LEC
19,241.5720887557932,245.85013094885593,PER
20,274.87638578565765,286.3990860212349,PER
21,204.5267513179745,191.1922997204933,LEC
22,153.36661806163545,142.50603817862242,LEC
23,217.1077581339964,210.164406797678,LEC
24,232.11860131869568,222.9183701705785,LEC
