Minisector,ALO,SAI,Fastest
0,293.28112101847876,297.76874908748664,SAI
1,300.60122820661246,307.6390151769175,SAI
2,222.57678789262545,218.07953810020706,ALO
3,139.67561532993062,136.11928269751587,ALO
4,223.15230696543304,220.35105420650038,ALO
5,166.70418689751122,164.29254503371453,ALO
6,178.27218401215654,168.85936616869353,ALO
7,252.7315013309102,253.40753013226498,SAI
8,279.2625189211808,281.4447058070588,SAI
9,286.82427200454543,291.46921294814814,SAI
10,256.5960408410831,248.76411075710482,ALO
11,243.8945308781395,238.14618037530863,ALO
12,245.18515258794187,237.5004151705722,ALO
13,215.99040739961907,200.78170128444444,ALO
14,132.8656605753921,129.82779683555358,ALO
15,142.64717152172926,137.04008084248196,ALO
16,185.18875001904763,173.87757487595465,ALO
17,246.76723414518517,251.10256456042327,SAI
18,258.3002535755389,238.82730183002266,ALO
19,118.69343650026232,114.60298258968218,ALO
20,193.4277679388543,200.1405005347262,SAI
21,201.51540130993232,195.03448960744072,ALO
22,227.57176012334935,236.69419908136456,SAI
23,261.6938905722488,266.0318285274074,SAI
24,277.9268785280548,286.0907365047619,SAI
25,288.72618971428574,,ALO
